team,venue,pt_idx,x_ft,y_ft,angle_deg,dist_ft
Arizona Diamondbacks,Chase Field,1,-245.3,219.6,-48.16,329.2
Arizona Diamondbacks,Chase Field,2,-234.2,211.3,-47.94,315.4
Arizona Diamondbacks,Chase Field,3,-224,200.9,-48.11,300.9
Arizona Diamondbacks,Chase Field,4,-213.8,190.5,-48.3,286.4
Arizona Diamondbacks,Chase Field,5,-203.6,180,-48.52,271.8
Arizona Diamondbacks,Chase Field,6,-193.4,169.6,-48.75,257.2
Arizona Diamondbacks,Chase Field,7,-183.5,158.9,-49.11,242.7
Arizona Diamondbacks,Chase Field,8,-176.2,146.3,-50.3,229
Arizona Diamondbacks,Chase Field,9,-168.9,133.7,-51.64,215.4
Arizona Diamondbacks,Chase Field,10,-161.6,121,-53.18,201.9
Arizona Diamondbacks,Chase Field,11,-154.3,108.4,-54.91,188.6
Arizona Diamondbacks,Chase Field,12,-147,95.8,-56.91,175.5
Arizona Diamondbacks,Chase Field,13,-139.6,83.1,-59.24,162.5
Arizona Diamondbacks,Chase Field,14,-132.3,70.5,-61.95,149.9
Arizona Diamondbacks,Chase Field,15,-126.2,60,-64.57,139.7
Arizona Diamondbacks,Chase Field,16,-123,56.5,-65.33,135.4
Arizona Diamondbacks,Chase Field,17,-115.7,48.8,-67.13,125.6
Arizona Diamondbacks,Chase Field,18,-105.3,37.7,-70.3,111.8
Arizona Diamondbacks,Chase Field,19,-92.6,24.2,-75.35,95.7
Arizona Diamondbacks,Chase Field,20,-78.5,9.4,-83.17,79.1
Arizona Diamondbacks,Chase Field,21,-63.9,-5.8,-95.19,64.2
Arizona Diamondbacks,Chase Field,22,-49.7,-20.3,-112.22,53.7
Arizona Diamondbacks,Chase Field,23,-36.9,-33.3,-132.06,49.7
Arizona Diamondbacks,Chase Field,24,-26.2,-43.6,-149,50.9
Arizona Diamondbacks,Chase Field,25,-18.7,-50.3,-159.61,53.7
Arizona Diamondbacks,Chase Field,26,-11,-54.6,-168.61,55.7
Arizona Diamondbacks,Chase Field,27,3.3,-57,176.69,57.1
Arizona Diamondbacks,Chase Field,28,17.3,-53.2,161.99,55.9
Arizona Diamondbacks,Chase Field,29,23.4,-49,154.47,54.3
Arizona Diamondbacks,Chase Field,30,31.9,-41.1,142.18,52
Arizona Diamondbacks,Chase Field,31,43.2,-29.8,124.6,52.5
Arizona Diamondbacks,Chase Field,32,56.3,-16.1,105.96,58.6
Arizona Diamondbacks,Chase Field,33,70.5,-1.1,90.89,70.5
Arizona Diamondbacks,Chase Field,34,84.7,14.3,80.42,85.9
Arizona Diamondbacks,Chase Field,35,98.2,28.9,73.6,102.4
Arizona Diamondbacks,Chase Field,36,110,41.8,69.19,117.7
Arizona Diamondbacks,Chase Field,37,119.2,52,66.43,130
Arizona Diamondbacks,Chase Field,38,124.9,58.4,64.94,137.9
Arizona Diamondbacks,Chase Field,39,128,62.7,63.9,142.5
Arizona Diamondbacks,Chase Field,40,135.3,75.3,60.9,154.8
Arizona Diamondbacks,Chase Field,41,142.6,87.9,58.35,167.5
Arizona Diamondbacks,Chase Field,42,149.9,100.6,56.13,180.5
Arizona Diamondbacks,Chase Field,43,157.2,113.2,54.24,193.7
Arizona Diamondbacks,Chase Field,44,164.5,125.8,52.59,207.1
Arizona Diamondbacks,Chase Field,45,171.8,138.5,51.13,220.7
Arizona Diamondbacks,Chase Field,46,179.1,151.1,49.85,234.3
Arizona Diamondbacks,Chase Field,47,187.2,163.1,48.94,248.3
Arizona Diamondbacks,Chase Field,48,197.5,173.5,48.7,262.9
Athletics,Sutter Health Park,1,27.8,-84.9,161.87,89.3
Athletics,Sutter Health Park,2,39,-74.8,152.46,84.4
Athletics,Sutter Health Park,3,50.3,-64.7,142.14,82
Athletics,Sutter Health Park,4,61.6,-54.6,131.55,82.3
Athletics,Sutter Health Park,5,72.9,-44.6,121.46,85.5
Athletics,Sutter Health Park,6,75,-43.4,120.06,86.7
Athletics,Sutter Health Park,7,78.5,-42.2,118.26,89.1
Athletics,Sutter Health Park,8,84,-40.1,115.52,93.1
Athletics,Sutter Health Park,9,91.4,-36.8,111.93,98.5
Athletics,Sutter Health Park,10,100.2,-32.4,107.92,105.3
Athletics,Sutter Health Park,11,110.1,-26.5,103.53,113.2
Athletics,Sutter Health Park,12,120.9,-19.3,99.07,122.4
Athletics,Sutter Health Park,13,132.3,-10.4,94.49,132.7
Athletics,Sutter Health Park,14,143.9,0.2,89.92,143.9
Athletics,Sutter Health Park,15,155.3,12.7,85.32,155.8
Athletics,Sutter Health Park,16,166.4,27.1,80.75,168.6
Athletics,Sutter Health Park,17,176.8,43.6,76.15,182.1
Athletics,Sutter Health Park,18,186.2,62.4,71.47,196.4
Athletics,Sutter Health Park,19,194.2,83.5,66.73,211.4
Athletics,Sutter Health Park,20,200.6,107.1,61.9,227.4
Athletics,Sutter Health Park,21,205.1,133.3,56.98,244.6
Athletics,Sutter Health Park,22,210.1,155.4,53.51,261.3
Athletics,Sutter Health Park,23,219,167.7,52.56,275.8
Athletics,Sutter Health Park,24,227.9,179.9,51.71,290.3
